Farmer_ID,District,Crop_Type,Year,Rainfall_mm,Fertilizer_kg_per_acre,Soil_Health_Index,Yield_ton_per_acre,Average_Price_INR,Temperature_C,Humidity_%,Soil_Moisture_%,Claim_Amount_INR,Fraud_Flag,Transport_Time_days,Storage_Duration_days,Quality_Score,Irrigation_Level_%,Pesticide_Litre_per_acre,Seed_Quality_Index,Sensor_Temperature_C,Sensor_Soil_Moisture_%,NDVI_Index,PH_Value,Expected_Yield_ton_per_acre,Yield_Variance,Market_Demand_Index,Export_Potential_Score,Claim_to_Yield_Ratio,Weather_Anomaly_Flag,Spoilage_Rate_%,Transport_Cost_INR,Revenue_per_Acre,Cost_of_Cultivation_INR,Profit_per_Acre,Sustainability_Score,Humidity_
1,Maharashtra,Sugarcane,2025,774,52,0.7669679903895565,3.678220667479192,2980,31.78964946729382,67,47,35000,0,3,11,89,60,2.25,0.86,32.219128667959794,48.355734073221434,0.56,7.42,2.29,1.01,1.14,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.71,67.56762893013929
2,Andhra Pradesh,Rice,2022,1029,50,0.8346848361668724,3.7569991321722287,1894,29.130469065820094,62,42,30000,0,3,12,90,93,4.26,0.73,28.452991550395875,41.206294818356604,0.85,6.2,2.44,1.06,1.18,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.77,62.716126894699
3,Tamil Nadu,Cotton,2024,1122,61,0.8688268383989872,3.4468964677912197,6094,28.969882014538918,65,45,40000,1,5,14,92,72,3.65,0.85,29.073773894709067,44.09525744767596,0.86,6.81,2.84,1.06,1.12,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.81,62.79979093660284
4,Tamil Nadu,Cotton,2024,1052,64,0.852939474570495,3.668672482025307,5992,29.076972923797523,65,45,40000,1,5,14,92,70,2.55,0.79,29.735566265438507,45.29240273619952,0.67,6.6,2.84,1.06,0.89,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.75,67.69492933191937
5,Maharashtra,Sugarcane,2025,900,59,0.7765937924964239,2.8221847420303012,2760,31.50913665241849,67,47,35000,0,3,11,89,64,1.79,0.97,31.03317565785571,47.40985162001283,0.79,7.29,2.29,1.01,0.52,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.78,63.87043748557523
6,Tamil Nadu,Cotton,2024,1143,57,0.8660345095205269,3.898165186645893,5950,28.080284791110905,65,45,40000,1,5,14,92,58,2.3,0.8,30.319968092068358,46.33471269156903,0.32,5.6,2.84,1.06,1.3,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.62,63.23679236404244
7,Maharashtra,Sugarcane,2025,806,56,0.7759949862854263,3.276210696789014,3102,31.28831666233271,67,47,35000,0,3,11,89,64,1.79,0.97,31.03317565785571,47.40985162001283,0.79,7.29,2.29,1.01,0.52,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.78,66.25436438616417
8,Karnataka,Maize,2023,698,37,0.6953240846828831,3.131371490062501,1304,25.845792027986178,58,38,20000,1,4,9,85,99,2.24,0.98,26.51588325543031,36.171457926788264,0.65,5.62,1.96,0.84,1.24,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.64,58.07610378684455
9,Telangana,Wheat,2021,808,41,0.733231595110965,3.0077772397710496,1965,27.309989408711658,60,40,25000,0,2,10,88,96,1.02,0.8,28.02418611659856,37.56204860696855,0.82,7.15,2.09,1.11,0.59,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.77,57.4240973241508
10,Karnataka,Maize,2023,840,44,0.6779763507168945,3.116385735213062,1833,25.479048527277005,58,38,20000,1,4,9,85,51,3.39,0.97,27.971300908221203,38.63857435795754,0.4,7.32,1.96,0.84,0.57,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.62,54.148368247392035
